inputs,outputs
what's the forecast for today what city shall i look up forecast information for? will it be cloudy in san mateo today?,it will not be cloudy in san mateo today.
schedule a conference,when and where should i schedule the conference sir?
get me directions to the grocery store whole foods is Whole_Foods_distance away but there is heave traffic on our way are any other grocery stores available with no Whole_Foods_traffic_info?,"no, whole foods is the only one i have listed. would you like the address anyway?"
"i need directions to a local fast food restaurant please there is pizza hut Pizza_Hut_distance away: would it be good for your hunger? yes, give me the address. the address to pizza hut is Pizza_Hut_address. sounds great. navigate me there please.","sure, i sent the info on your screen, drive carefully!"
what will the high temperature be for los angeles?  today there is going to be frost in los angeles. would you like to know about some other day? what will the highest temperature be on los_angeles_monday? the high in los angeles will be 50f on los_angeles_monday. thank you,you are welcome.
remind me of the time for today's dinner,today's dinner is at dinner_time.
set a reminder for lab work on the 12th a reminder has been set for lab work on the 12th.  set the time as 7 pm,for your lab work on the 12th of this month i've set the appointment time at 7 pm.
"where can i get chinese food? there is a p.f. changs P.F._Changs_distance away. what is the address? p.f. changs is located at P.F._Changs_address. please pick the fastest route to get there and send the info on the gps, thank you!","gps set to p.f. changs at P.F._Changs_address but a road block is noted nearby, do you still want to proceed?"
what's the weather like this week,which city would you like the weekly weather forecast for?
is it going to be cloudy in the next 7 days,what city can i give you this weather information for?
on camarillo_saturday in camarillo will it be cloudy?,it will not be cloudy camarillo_saturday in camarillo.
"show me the locations of all of the nearby motels there are the westin The_Westin_distance away, and the comfort inn and hotel keen, both 5 miles away pick one in the area and avoid all heavy traffic please then let's go at the westin hotel, there is The_Westin_traffic_info and it's nearby. the address is 329 el camino real sounds great, thanks.",you're very welcome!
when is my dentist appointment,your dentist appointment is dentist_appointment_date at 7pm.
"search for nearby starbucks there is no starbucks nearby. how about other coffee? there is a coffee place Philz_distance away. do you need the address and name? yes, please, send those info on my screen and pick a quick route to go there, thank you! philz is a coffee shop located at Philz_address. setting your gps for the quickest route possible now. thank you car!",you are welcome.
add my dentist appointment to the calendar,"i will add it, what date and time would you like?"
what's the weather like in downtown chicago the weather in downtown chicago is windy the low is 60f with a high of 70f. thank you.,you're welcome.
what is the weather in new york city what can i tell you about the weather in new york? i'd like to know the weather overcast in the next weekend,it will be overcast on new_york_sunday for this weekend in new york.
is it going to rain in exeter over the next few days? there is no forecast of rain this week in exeter. thanks,no problem
what's today's and tomorrow's forecast for what location do you need the forecast for today and tomorrow?  i would like to know if it's going to be hot in atherton.,it will be cold today in altherton but tomorrow is going to be high near 100 with low near 90.
is there any rain in the current weather forecast in inglewood? today it's gonna fall hail in inglewood thank you!,you're welcome!
